query,result,rank,click,dwell_time,relevance,ctr,adjusted_relevance
learn python,Python tutorial,1,0,0,0,0.0,0
learn python,Learn Python fast,2,1,35,1,0.003246753246753247,35
learn python,Python for beginners,3,0,0,0,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,1,60,1,0.003246753246753247,60
cheap flights tokyo,Cheapest Tokyo flights,2,1,25,1,0.003246753246753247,25
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0
learn python,Python tutorial,1,1,2,1,0.003246753246753247,2
learn python,Learn Python fast,2,1,18,1,0.003246753246753247,18
learn python,Python for beginners,3,1,5,1,0.003246753246753247,5
cheap flights tokyo,Flight deals to Tokyo,1,0,0,0,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,1,33,1,0.003246753246753247,33
cheap flights tokyo,Best airlines to Japan,3,1,36,1,0.003246753246753247,36
learn python,Python tutorial,1,1,18,1,0.003246753246753247,18
learn python,Learn Python fast,2,1,37,1,0.003246753246753247,37
learn python,Python for beginners,3,1,37,1,0.003246753246753247,37
weather new york,NYC weather today,1,0,0,1,0.0,0
weather new york,Weather forecast,2,1,34,1,0.0033112582781456954,34
weather new york,New York climate,3,0,0,1,0.0,0
weather new york,NYC weather today,1,0,0,1,0.0,0
weather new york,Weather forecast,2,0,0,1,0.0,0
weather new york,New York climate,3,0,0,0,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,1,43,1,0.003246753246753247,43
cheap flights tokyo,Cheapest Tokyo flights,2,1,21,1,0.003246753246753247,21
cheap flights tokyo,Best airlines to Japan,3,1,10,1,0.003246753246753247,10
cheap flights tokyo,Flight deals to Tokyo,1,1,18,1,0.003246753246753247,18
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,1,0.0,0
cheap flights tokyo,Best airlines to Japan,3,0,0,1,0.0,0
weather new york,NYC weather today,1,1,29,1,0.0033112582781456954,29
weather new york,Weather forecast,2,1,43,1,0.0033112582781456954,43
weather new york,New York climate,3,0,0,0,0.0,0
best laptop gaming,Laptop A review,1,0,0,0,0.0,0
best laptop gaming,Laptop B specs,2,1,57,1,0.003355704697986577,57
best laptop gaming,Top gaming laptops,3,1,22,1,0.003355704697986577,22
learn python,Python tutorial,1,1,30,1,0.003246753246753247,30
learn python,Learn Python fast,2,1,11,1,0.003246753246753247,11
learn python,Python for beginners,3,1,43,1,0.003246753246753247,43
best programming languages 2025,Best languages to learn,1,0,0,0,0.0,0
best programming languages 2025,Top programming languages,2,0,0,0,0.0,0
best programming languages 2025,Most in-demand coding skills,3,0,0,1,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,0,0,0,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,0,0.0,0
cheap flights tokyo,Best airlines to Japan,3,1,40,1,0.003246753246753247,40
weather new york,NYC weather today,1,1,42,1,0.0033112582781456954,42
weather new york,Weather forecast,2,0,0,0,0.0,0
weather new york,New York climate,3,1,43,1,0.0033112582781456954,43
best programming languages 2025,Best languages to learn,1,1,37,1,0.0031545741324921135,37
best programming languages 2025,Top programming languages,2,1,34,1,0.0031545741324921135,34
best programming languages 2025,Most in-demand coding skills,3,0,0,1,0.0,0
weather new york,NYC weather today,1,0,0,1,0.0,0
weather new york,Weather forecast,2,1,31,1,0.0033112582781456954,31
weather new york,New York climate,3,0,0,0,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,1,39,1,0.003246753246753247,39
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,1,0.0,0
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0
best laptop gaming,Laptop A review,1,1,6,1,0.003355704697986577,6
best laptop gaming,Laptop B specs,2,1,53,1,0.003355704697986577,53
best laptop gaming,Top gaming laptops,3,0,0,0,0.0,0
best programming languages 2025,Best languages to learn,1,0,0,0,0.0,0
best programming languages 2025,Top programming languages,2,0,0,1,0.0,0
best programming languages 2025,Most in-demand coding skills,3,0,0,1,0.0,0
best programming languages 2025,Best languages to learn,1,1,21,1,0.0031545741324921135,21
best programming languages 2025,Top programming languages,2,1,20,1,0.0031545741324921135,20
best programming languages 2025,Most in-demand coding skills,3,0,0,1,0.0,0
best programming languages 2025,Best languages to learn,1,1,37,1,0.0031545741324921135,37
best programming languages 2025,Top programming languages,2,0,0,1,0.0,0
best programming languages 2025,Most in-demand coding skills,3,1,21,1,0.0031545741324921135,21
best laptop gaming,Laptop A review,1,1,56,1,0.003355704697986577,56
best laptop gaming,Laptop B specs,2,1,19,1,0.003355704697986577,19
best laptop gaming,Top gaming laptops,3,1,52,1,0.003355704697986577,52
weather new york,NYC weather today,1,1,11,1,0.0033112582781456954,11
weather new york,Weather forecast,2,1,58,1,0.0033112582781456954,58
weather new york,New York climate,3,1,37,1,0.0033112582781456954,37
cheap flights tokyo,Flight deals to Tokyo,1,0,0,1,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,1,53,1,0.003246753246753247,53
cheap flights tokyo,Best airlines to Japan,3,1,37,1,0.003246753246753247,37
best laptop gaming,Laptop A review,1,0,0,0,0.0,0
best laptop gaming,Laptop B specs,2,1,41,1,0.003355704697986577,41
best laptop gaming,Top gaming laptops,3,0,0,0,0.0,0
learn python,Python tutorial,1,1,3,1,0.003246753246753247,3
learn python,Learn Python fast,2,0,0,0,0.0,0
learn python,Python for beginners,3,0,0,0,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,1,37,1,0.003246753246753247,37
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,1,0.0,0
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,1,26,1,0.003246753246753247,26
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,1,0.0,0
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,0,0,0,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,1,35,1,0.003246753246753247,35
cheap flights tokyo,Best airlines to Japan,3,1,39,1,0.003246753246753247,39
best laptop gaming,Laptop A review,1,0,0,0,0.0,0
best laptop gaming,Laptop B specs,2,0,0,1,0.0,0
best laptop gaming,Top gaming laptops,3,1,39,1,0.003355704697986577,39
learn python,Python tutorial,1,1,29,1,0.003246753246753247,29
learn python,Learn Python fast,2,1,37,1,0.003246753246753247,37
learn python,Python for beginners,3,1,11,1,0.003246753246753247,11
best programming languages 2025,Best languages to learn,1,1,48,1,0.0031545741324921135,48
best programming languages 2025,Top programming languages,2,0,0,1,0.0,0
best programming languages 2025,Most in-demand coding skills,3,0,0,0,0.0,0
weather new york,NYC weather today,1,0,0,0,0.0,0
weather new york,Weather forecast,2,0,0,0,0.0,0
weather new york,New York climate,3,0,0,0,0.0,0
learn python,Python tutorial,1,0,0,0,0.0,0
learn python,Learn Python fast,2,1,41,1,0.003246753246753247,41
learn python,Python for beginners,3,0,0,0,0.0,0
best programming languages 2025,Best languages to learn,1,1,36,1,0.0031545741324921135,36
best programming languages 2025,Top programming languages,2,1,60,1,0.0031545741324921135,60
best programming languages 2025,Most in-demand coding skills,3,1,2,1,0.0031545741324921135,2
cheap flights tokyo,Flight deals to Tokyo,1,1,20,1,0.003246753246753247,20
cheap flights tokyo,Cheapest Tokyo flights,2,1,9,1,0.003246753246753247,9
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,0,0,1,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,0,0.0,0
cheap flights tokyo,Best airlines to Japan,3,0,0,1,0.0,0
learn python,Python tutorial,1,0,0,1,0.0,0
learn python,Learn Python fast,2,0,0,0,0.0,0
learn python,Python for beginners,3,0,0,1,0.0,0
weather new york,NYC weather today,1,0,0,1,0.0,0
weather new york,Weather forecast,2,0,0,0,0.0,0
weather new york,New York climate,3,1,20,1,0.0033112582781456954,20
best laptop gaming,Laptop A review,1,1,60,1,0.003355704697986577,60
