query,result,rank,click,dwell_time,relevance
how to learn Python,Python tutorial,1,0,0,0
how to learn Python,Learn Python fast,2,1,35,1
how to learn Python,Python for beginners,3,0,0,0
cheap flights to Tokyo,Flight deals to Tokyo,1,1,60,1
cheap flights to Tokyo,Cheapest Tokyo flights,2,1,25,1
cheap flights to Tokyo,Best airlines to Japan,3,0,0,0
how to learn Python,Python tutorial,1,1,2,1
how to learn Python,Learn Python fast,2,1,18,1
how to learn Python,Python for beginners,3,1,5,1
cheap flights to Tokyo,Flight deals to Tokyo,1,0,0,0
cheap flights to Tokyo,Cheapest Tokyo flights,2,1,33,1
cheap flights to Tokyo,Best airlines to Japan,3,1,36,1
how to learn Python,Python tutorial,1,1,18,1
how to learn Python,Learn Python fast,2,1,37,1
how to learn Python,Python for beginners,3,1,37,1
weather in New York,NYC weather today,1,0,0,1
weather in New York,Weather forecast,2,1,34,1
weather in New York,New York climate,3,0,0,1
weather in New York,NYC weather today,1,0,0,1
weather in New York,Weather forecast,2,0,0,1
weather in New York,New York climate,3,0,0,0
cheap flights to Tokyo,Flight deals to Tokyo,1,1,43,1
cheap flights to Tokyo,Cheapest Tokyo flights,2,1,21,1
cheap flights to Tokyo,Best airlines to Japan,3,1,10,1
cheap flights to Tokyo,Flight deals to Tokyo,1,1,18,1
cheap flights to Tokyo,Cheapest Tokyo flights,2,0,0,1
cheap flights to Tokyo,Best airlines to Japan,3,0,0,1
weather in New York,NYC weather today,1,1,29,1
weather in New York,Weather forecast,2,1,43,1
weather in New York,New York climate,3,0,0,0
best laptop for gaming,Laptop A review,1,0,0,0
best laptop for gaming,Laptop B specs,2,1,57,1
best laptop for gaming,Top gaming laptops,3,1,22,1
how to learn Python,Python tutorial,1,1,30,1
how to learn Python,Learn Python fast,2,1,11,1
how to learn Python,Python for beginners,3,1,43,1
best programming languages 2025,Best languages to learn,1,0,0,0
best programming languages 2025,Top programming languages,2,0,0,0
best programming languages 2025,Most in-demand coding skills,3,0,0,1
cheap flights to Tokyo,Flight deals to Tokyo,1,0,0,0
cheap flights to Tokyo,Cheapest Tokyo flights,2,0,0,0
cheap flights to Tokyo,Best airlines to Japan,3,1,40,1
weather in New York,NYC weather today,1,1,42,1
weather in New York,Weather forecast,2,0,0,0
weather in New York,New York climate,3,1,43,1
best programming languages 2025,Best languages to learn,1,1,37,1
best programming languages 2025,Top programming languages,2,1,34,1
best programming languages 2025,Most in-demand coding skills,3,0,0,1
weather in New York,NYC weather today,1,0,0,1
weather in New York,Weather forecast,2,1,31,1
weather in New York,New York climate,3,0,0,0
cheap flights to Tokyo,Flight deals to Tokyo,1,1,39,1
cheap flights to Tokyo,Cheapest Tokyo flights,2,0,0,1
cheap flights to Tokyo,Best airlines to Japan,3,0,0,0
best laptop for gaming,Laptop A review,1,1,6,1
best laptop for gaming,Laptop B specs,2,1,53,1
