query,result,rank,click,dwell_time,relevance,ctr,adjusted_relevance,ai_relevance,normalized_ai_relevance,behavior_weight,weighted_relevance,original_score,fine_tuned_score
learn python,Python tutorial,1,0,0,0,0.0,0,0.00024630327243357897,1.0,1,1.0,0.00024630327243357897,1.0
learn python,Learn Python fast,2,1,35,1,0.0032467532467532,35,9.176792082143947e-05,0.23244400599381823,72,16.735968431554912,9.176792082143947e-05,16.735968431554912
learn python,Python for beginners,3,0,0,0,0.0,0,0.00015580591571051627,0.5505119840226522,1,0.5505119840226522,0.00015580591571051627,0.5505119840226522
cheap flights tokyo,Flight deals to Tokyo,1,1,60,1,0.0032467532467532,60,7.034215377643704e-05,0.12602514616653807,122,15.375067832317644,7.034215377643704e-05,15.375067832317644
cheap flights tokyo,Cheapest Tokyo flights,2,1,25,1,0.0032467532467532,25,0.00010685342567740008,0.3073716491124193,52,15.983325753845804,0.00010685342567740008,15.983325753845804
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0,0.00014266659854911268,0.48525078948578115,1,0.48525078948578115,0.00014266659854911268,0.48525078948578115
learn python,Python tutorial,1,1,2,1,0.0032467532467532,2,0.00024630327243357897,1.0,6,6.0,0.00024630327243357897,6.0
learn python,Learn Python fast,2,1,18,1,0.0032467532467532,18,9.176792082143947e-05,0.23244400599381823,38,8.832872227765092,9.176792082143947e-05,8.832872227765092
learn python,Python for beginners,3,1,5,1,0.0032467532467532,5,0.00015580591571051627,0.5505119840226522,12,6.606143808271827,0.00015580591571051627,6.606143808271827
cheap flights tokyo,Flight deals to Tokyo,1,0,0,0,0.0,0,7.034215377643704e-05,0.12602514616653807,1,0.12602514616653807,7.034215377643704e-05,0.12602514616653807
cheap flights tokyo,Cheapest Tokyo flights,2,1,33,1,0.0032467532467532,33,0.00010685342567740008,0.3073716491124193,68,20.901272139644515,0.00010685342567740008,20.901272139644515
cheap flights tokyo,Best airlines to Japan,3,1,36,1,0.0032467532467532,36,0.00014266659854911268,0.48525078948578115,74,35.9085584219478,0.00014266659854911268,35.9085584219478
learn python,Python tutorial,1,1,18,1,0.0032467532467532,18,0.00024630327243357897,1.0,38,38.0,0.00024630327243357897,38.0
learn python,Learn Python fast,2,1,37,1,0.0032467532467532,37,9.176792082143947e-05,0.23244400599381823,76,17.665744455530184,9.176792082143947e-05,17.665744455530184
learn python,Python for beginners,3,1,37,1,0.0032467532467532,37,0.00015580591571051627,0.5505119840226522,76,41.838910785721566,0.00015580591571051627,41.838910785721566
weather new york,NYC weather today,1,0,0,1,0.0,0,5.4528714827029034e-05,0.047481953784689196,1,0.047481953784689196,5.4528714827029034e-05,0.047481953784689196
weather new york,Weather forecast,2,1,34,1,0.0033112582781456,34,4.905077730654739e-05,0.02027378597859375,70,1.4191650185015625,4.905077730654739e-05,1.4191650185015625
weather new york,New York climate,3,0,0,1,0.0,0,4.4968968722969294e-05,0.0,1,0.0,4.4968968722969294e-05,0.0
weather new york,NYC weather today,1,0,0,1,0.0,0,5.4528714827029034e-05,0.047481953784689196,1,0.047481953784689196,5.4528714827029034e-05,0.047481953784689196
weather new york,Weather forecast,2,0,0,1,0.0,0,4.905077730654739e-05,0.02027378597859375,1,0.02027378597859375,4.905077730654739e-05,0.02027378597859375
weather new york,New York climate,3,0,0,0,0.0,0,4.4968968722969294e-05,0.0,1,0.0,4.4968968722969294e-05,0.0
cheap flights tokyo,Flight deals to Tokyo,1,1,43,1,0.0032467532467532,43,7.034215377643704e-05,0.12602514616653807,88,11.09021286265535,7.034215377643704e-05,11.09021286265535
cheap flights tokyo,Cheapest Tokyo flights,2,1,21,1,0.0032467532467532,21,0.00010685342567740008,0.3073716491124193,44,13.52435256094645,0.00010685342567740008,13.52435256094645
cheap flights tokyo,Best airlines to Japan,3,1,10,1,0.0032467532467532,10,0.00014266659854911268,0.48525078948578115,22,10.675517368687185,0.00014266659854911268,10.675517368687185
cheap flights tokyo,Flight deals to Tokyo,1,1,18,1,0.0032467532467532,18,7.034215377643704e-05,0.12602514616653807,38,4.788955554328447,7.034215377643704e-05,4.788955554328447
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,1,0.0,0,0.00010685342567740008,0.3073716491124193,1,0.3073716491124193,0.00010685342567740008,0.3073716491124193
cheap flights tokyo,Best airlines to Japan,3,0,0,1,0.0,0,0.00014266659854911268,0.48525078948578115,1,0.48525078948578115,0.00014266659854911268,0.48525078948578115
weather new york,NYC weather today,1,1,29,1,0.0033112582781456,29,5.4528714827029034e-05,0.047481953784689196,60,2.8489172270813516,5.4528714827029034e-05,2.8489172270813516
weather new york,Weather forecast,2,1,43,1,0.0033112582781456,43,4.905077730654739e-05,0.02027378597859375,88,1.78409316611625,4.905077730654739e-05,1.78409316611625
weather new york,New York climate,3,0,0,0,0.0,0,4.4968968722969294e-05,0.0,1,0.0,4.4968968722969294e-05,0.0
best laptop gaming,Laptop A review,1,0,0,0,0.0,0,6.9844325480517e-05,0.12355250098514062,1,0.12355250098514062,6.9844325480517e-05,0.12355250098514062
best laptop gaming,Laptop B specs,2,1,57,1,0.0033557046979865,57,9.61163459578529e-05,0.25404203999136143,116,29.468876638997926,9.61163459578529e-05,29.468876638997926
best laptop gaming,Top gaming laptops,3,1,22,1,0.0033557046979865,22,7.160750828916207e-05,0.13230998928271062,46,6.086259507004689,7.160750828916207e-05,6.086259507004689
learn python,Python tutorial,1,1,30,1,0.0032467532467532,30,0.00024630327243357897,1.0,62,62.0,0.00024630327243357897,62.0
learn python,Learn Python fast,2,1,11,1,0.0032467532467532,11,9.176792082143947e-05,0.23244400599381823,24,5.578656143851638,9.176792082143947e-05,5.578656143851638
learn python,Python for beginners,3,1,43,1,0.0032467532467532,43,0.00015580591571051627,0.5505119840226522,88,48.4450545939934,0.00015580591571051627,48.4450545939934
best programming languages 2025,Best languages to learn,1,0,0,0,0.0,0,9.530770330457017e-05,0.250025622329893,1,0.250025622329893,9.530770330457017e-05,0.250025622329893
best programming languages 2025,Top programming languages,2,0,0,0,0.0,0,7.872181595303118e-05,0.16764578419074058,1,0.16764578419074058,7.872181595303118e-05,0.16764578419074058
best programming languages 2025,Most in-demand coding skills,3,0,0,1,0.0,0,9.59332101047039e-05,0.2531324292108149,1,0.2531324292108149,9.59332101047039e-05,0.2531324292108149
cheap flights tokyo,Flight deals to Tokyo,1,0,0,0,0.0,0,7.034215377643704e-05,0.12602514616653807,1,0.12602514616653807,7.034215377643704e-05,0.12602514616653807
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,0,0.0,0,0.00010685342567740008,0.3073716491124193,1,0.3073716491124193,0.00010685342567740008,0.3073716491124193
cheap flights tokyo,Best airlines to Japan,3,1,40,1,0.0032467532467532,40,0.00014266659854911268,0.48525078948578115,82,39.79056473783405,0.00014266659854911268,39.79056473783405
weather new york,NYC weather today,1,1,42,1,0.0033112582781456,42,5.4528714827029034e-05,0.047481953784689196,86,4.083448025483271,5.4528714827029034e-05,4.083448025483271
weather new york,Weather forecast,2,0,0,0,0.0,0,4.905077730654739e-05,0.02027378597859375,1,0.02027378597859375,4.905077730654739e-05,0.02027378597859375
weather new york,New York climate,3,1,43,1,0.0033112582781456,43,4.4968968722969294e-05,0.0,88,0.0,4.4968968722969294e-05,0.0
best programming languages 2025,Best languages to learn,1,1,37,1,0.0031545741324921,37,9.530770330457017e-05,0.250025622329893,76,19.00194729707187,9.530770330457017e-05,19.00194729707187
best programming languages 2025,Top programming languages,2,1,34,1,0.0031545741324921,34,7.872181595303118e-05,0.16764578419074058,70,11.73520489335184,7.872181595303118e-05,11.73520489335184
best programming languages 2025,Most in-demand coding skills,3,0,0,1,0.0,0,9.59332101047039e-05,0.2531324292108149,1,0.2531324292108149,9.59332101047039e-05,0.2531324292108149
weather new york,NYC weather today,1,0,0,1,0.0,0,5.4528714827029034e-05,0.047481953784689196,1,0.047481953784689196,5.4528714827029034e-05,0.047481953784689196
weather new york,Weather forecast,2,1,31,1,0.0033112582781456,31,4.905077730654739e-05,0.02027378597859375,64,1.29752230263,4.905077730654739e-05,1.29752230263
weather new york,New York climate,3,0,0,0,0.0,0,4.4968968722969294e-05,0.0,1,0.0,4.4968968722969294e-05,0.0
cheap flights tokyo,Flight deals to Tokyo,1,1,39,1,0.0032467532467532,39,7.034215377643704e-05,0.12602514616653807,80,10.082011693323045,7.034215377643704e-05,10.082011693323045
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,1,0.0,0,0.00010685342567740008,0.3073716491124193,1,0.3073716491124193,0.00010685342567740008,0.3073716491124193
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0,0.00014266659854911268,0.48525078948578115,1,0.48525078948578115,0.00014266659854911268,0.48525078948578115
best laptop gaming,Laptop A review,1,1,6,1,0.0033557046979865,6,6.9844325480517e-05,0.12355250098514062,14,1.7297350137919687,6.9844325480517e-05,1.7297350137919687
best laptop gaming,Laptop B specs,2,1,53,1,0.0033557046979865,53,9.61163459578529e-05,0.25404203999136143,108,27.436540319067035,9.61163459578529e-05,27.436540319067035
best laptop gaming,Top gaming laptops,3,0,0,0,0.0,0,7.160750828916207e-05,0.13230998928271062,1,0.13230998928271062,7.160750828916207e-05,0.13230998928271062
best programming languages 2025,Best languages to learn,1,0,0,0,0.0,0,9.530770330457017e-05,0.250025622329893,1,0.250025622329893,9.530770330457017e-05,0.250025622329893
best programming languages 2025,Top programming languages,2,0,0,1,0.0,0,7.872181595303118e-05,0.16764578419074058,1,0.16764578419074058,7.872181595303118e-05,0.16764578419074058
best programming languages 2025,Most in-demand coding skills,3,0,0,1,0.0,0,9.59332101047039e-05,0.2531324292108149,1,0.2531324292108149,9.59332101047039e-05,0.2531324292108149
best programming languages 2025,Best languages to learn,1,1,21,1,0.0031545741324921,21,9.530770330457017e-05,0.250025622329893,44,11.001127382515293,9.530770330457017e-05,11.001127382515293
best programming languages 2025,Top programming languages,2,1,20,1,0.0031545741324921,20,7.872181595303118e-05,0.16764578419074058,42,7.041122936011105,7.872181595303118e-05,7.041122936011105
best programming languages 2025,Most in-demand coding skills,3,0,0,1,0.0,0,9.59332101047039e-05,0.2531324292108149,1,0.2531324292108149,9.59332101047039e-05,0.2531324292108149
best programming languages 2025,Best languages to learn,1,1,37,1,0.0031545741324921,37,9.530770330457017e-05,0.250025622329893,76,19.00194729707187,9.530770330457017e-05,19.00194729707187
best programming languages 2025,Top programming languages,2,0,0,1,0.0,0,7.872181595303118e-05,0.16764578419074058,1,0.16764578419074058,7.872181595303118e-05,0.16764578419074058
best programming languages 2025,Most in-demand coding skills,3,1,21,1,0.0031545741324921,21,9.59332101047039e-05,0.2531324292108149,44,11.137826885275857,9.59332101047039e-05,11.137826885275857
best laptop gaming,Laptop A review,1,1,56,1,0.0033557046979865,56,6.9844325480517e-05,0.12355250098514062,114,14.08498511230603,6.9844325480517e-05,14.08498511230603
best laptop gaming,Laptop B specs,2,1,19,1,0.0033557046979865,19,9.61163459578529e-05,0.25404203999136143,40,10.161681599654457,9.61163459578529e-05,10.161681599654457
best laptop gaming,Top gaming laptops,3,1,52,1,0.0033557046979865,52,7.160750828916207e-05,0.13230998928271062,106,14.024858863967326,7.160750828916207e-05,14.024858863967326
weather new york,NYC weather today,1,1,11,1,0.0033112582781456,11,5.4528714827029034e-05,0.047481953784689196,24,1.1395668908325407,5.4528714827029034e-05,1.1395668908325407
weather new york,Weather forecast,2,1,58,1,0.0033112582781456,58,4.905077730654739e-05,0.02027378597859375,118,2.3923067454740625,4.905077730654739e-05,2.3923067454740625
weather new york,New York climate,3,1,37,1,0.0033112582781456,37,4.4968968722969294e-05,0.0,76,0.0,4.4968968722969294e-05,0.0
cheap flights tokyo,Flight deals to Tokyo,1,0,0,1,0.0,0,7.034215377643704e-05,0.12602514616653807,1,0.12602514616653807,7.034215377643704e-05,0.12602514616653807
cheap flights tokyo,Cheapest Tokyo flights,2,1,53,1,0.0032467532467532,53,0.00010685342567740008,0.3073716491124193,108,33.19613810414128,0.00010685342567740008,33.19613810414128
cheap flights tokyo,Best airlines to Japan,3,1,37,1,0.0032467532467532,37,0.00014266659854911268,0.48525078948578115,76,36.87906000091937,0.00014266659854911268,36.87906000091937
best laptop gaming,Laptop A review,1,0,0,0,0.0,0,6.9844325480517e-05,0.12355250098514062,1,0.12355250098514062,6.9844325480517e-05,0.12355250098514062
best laptop gaming,Laptop B specs,2,1,41,1,0.0033557046979865,41,9.61163459578529e-05,0.25404203999136143,84,21.33953135927436,9.61163459578529e-05,21.33953135927436
best laptop gaming,Top gaming laptops,3,0,0,0,0.0,0,7.160750828916207e-05,0.13230998928271062,1,0.13230998928271062,7.160750828916207e-05,0.13230998928271062
learn python,Python tutorial,1,1,3,1,0.0032467532467532,3,0.00024630327243357897,1.0,8,8.0,0.00024630327243357897,8.0
learn python,Learn Python fast,2,0,0,0,0.0,0,9.176792082143947e-05,0.23244400599381823,1,0.23244400599381823,9.176792082143947e-05,0.23244400599381823
learn python,Python for beginners,3,0,0,0,0.0,0,0.00015580591571051627,0.5505119840226522,1,0.5505119840226522,0.00015580591571051627,0.5505119840226522
cheap flights tokyo,Flight deals to Tokyo,1,1,37,1,0.0032467532467532,37,7.034215377643704e-05,0.12602514616653807,76,9.577911108656894,7.034215377643704e-05,9.577911108656894
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,1,0.0,0,0.00010685342567740008,0.3073716491124193,1,0.3073716491124193,0.00010685342567740008,0.3073716491124193
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0,0.00014266659854911268,0.48525078948578115,1,0.48525078948578115,0.00014266659854911268,0.48525078948578115
cheap flights tokyo,Flight deals to Tokyo,1,1,26,1,0.0032467532467532,26,7.034215377643704e-05,0.12602514616653807,54,6.805357892993055,7.034215377643704e-05,6.805357892993055
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,1,0.0,0,0.00010685342567740008,0.3073716491124193,1,0.3073716491124193,0.00010685342567740008,0.3073716491124193
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0,0.00014266659854911268,0.48525078948578115,1,0.48525078948578115,0.00014266659854911268,0.48525078948578115
cheap flights tokyo,Flight deals to Tokyo,1,0,0,0,0.0,0,7.034215377643704e-05,0.12602514616653807,1,0.12602514616653807,7.034215377643704e-05,0.12602514616653807
cheap flights tokyo,Cheapest Tokyo flights,2,1,35,1,0.0032467532467532,35,0.00010685342567740008,0.3073716491124193,72,22.13075873609419,0.00010685342567740008,22.13075873609419
cheap flights tokyo,Best airlines to Japan,3,1,39,1,0.0032467532467532,39,0.00014266659854911268,0.48525078948578115,80,38.820063158862496,0.00014266659854911268,38.820063158862496
best laptop gaming,Laptop A review,1,0,0,0,0.0,0,6.9844325480517e-05,0.12355250098514062,1,0.12355250098514062,6.9844325480517e-05,0.12355250098514062
best laptop gaming,Laptop B specs,2,0,0,1,0.0,0,9.61163459578529e-05,0.25404203999136143,1,0.25404203999136143,9.61163459578529e-05,0.25404203999136143
best laptop gaming,Top gaming laptops,3,1,39,1,0.0033557046979865,39,7.160750828916207e-05,0.13230998928271062,80,10.58479914261685,7.160750828916207e-05,10.58479914261685
learn python,Python tutorial,1,1,29,1,0.0032467532467532,29,0.00024630327243357897,1.0,60,60.0,0.00024630327243357897,60.0
learn python,Learn Python fast,2,1,37,1,0.0032467532467532,37,9.176792082143947e-05,0.23244400599381823,76,17.665744455530184,9.176792082143947e-05,17.665744455530184
learn python,Python for beginners,3,1,11,1,0.0032467532467532,11,0.00015580591571051627,0.5505119840226522,24,13.212287616543653,0.00015580591571051627,13.212287616543653
